Channel_Name,Origin
Rishabh Mishra,India
StatQuest with Josh Starmer,United States
Nicholas Renotte,Australia
Leila Gharani,Austria
Ryan Nolan Data,United States
WsCube Tech,India
codebasics,India
Ken Jee,United States
Kaggle,United States
Luke Barousse,United States
DeepLearningAI,United States
Dataquest,United States
Keith Galli,United States
Darshil Parmar,India
Rob Mulla,United States
Andrej Karpathy,United States
Tina Huang,United States
sentdex,United States
CampusX,India
Chandoo,India
freeCodeCamp.org,United States
Socratica,United States
Kevin Stratvert,United States
Tableau Tim,United States
Thu Vu data analytics,United States
Guy in a Cube,United States
Krish Naik,India
techTFQ,India
ExcelIsFun,United States
Alex The Analyst,United States
